State,Month,Month_Abbr,Tourists,TemperatureMean,RainProportion
New South Wales,Jan-23,Jan,202,23.354618142017813,18.768999867204915
Victoria,Jan-23,Jan,110,20.154756069797944,6.380389729468107
Queensland,Jan-23,Jan,105,26.06572038757216,46.89758257474425
South Australia,Jan-23,Jan,39,23.616798475628816,4.2176023617972485
Western Australia,Jan-23,Jan,58,25.189808831580542,7.877898473
Tasmania,Jan-23,Jan,15,16.186326540552994,2.689390275396862
New South Wales,Feb-23,Feb,326,23.11714829059496,22.532051304545337
Victoria,Feb-23,Feb,177,19.199504746302985,6.039536942563655
Queensland,Feb-23,Feb,158,25.95676567150376,45.30680194412344
South Australia,Feb-23,Feb,42,23.67021288475456,3.8235001761319527
Western Australia,Feb-23,Feb,69,25.871464292207797,7.972276876020963
Tasmania,Feb-23,Feb,25,15.522564111451247,2.694119395648098
New South Wales,Mar-23,Mar,305,21.85947259378789,25.776022305585222
Victoria,Mar-23,Mar,183,17.17012774406239,6.480052431436024
Queensland,Mar-23,Mar,157,25.722981569066217,44.36451879
South Australia,Mar-23,Mar,39,20.81845988460992,3.105817233282992
Western Australia,Mar-23,Mar,80,23.96524113171201,8.286444512139916
Tasmania,Mar-23,Mar,23,13.620974105529951,3.560027134850119
New South Wales,Apr-23,Apr,242,16.10581852925754,25.84573761598668
Victoria,Apr-23,Apr,152,13.723941139870329,13.242332382889932
Queensland,Apr-23,Apr,143,22.793911963929823,30.100469194624637
South Australia,Apr-23,Apr,41,17.044683375110132,8.515491237815358
Western Australia,Apr-23,Apr,68,18.564805696969696,10.013628337184908
Tasmania,Apr-23,Apr,15,12.309221546574074,5.689538375742878
New South Wales,May-23,May,246,11.320614287097822,24.05942019130141
Victoria,May-23,May,166,10.16523032,15.429409971677345
Queensland,May-23,May,145,17.96241576533786,23.883427689718623
South Australia,May-23,May,29,13.390502290464688,10.33520938556894
Western Australia,May-23,May,54,16.731254102669634,16.23765087150724
New South Wales,Jun-23,Jun,266,10.419023755237044,30.400395716714662
Victoria,Jun-23,Jun,132,9.424585992,15.968097050335675
Queensland,Jun-23,Jun,155,18.44251853047719,16.63367341
South Australia,Jun-23,Jun,24,12.334732305433189,10.633927266509808
Western Australia,Jun-23,Jun,56,12.52049317064786,17.776321004774168
Tasmania,Jun-23,Jun,6,8.784823412,7.522423110208082
New South Wales,Jul-23,Jul,285,10.17082432089604,24.553551121958936
Victoria,Jul-23,Jul,161,8.791213649344913,15.712968422530995
Queensland,Jul-23,Jul,178,17.09886467183701,19.04738149285899
South Australia,Jul-23,Jul,32,11.321093558462412,10.703097386643671
Western Australia,Jul-23,Jul,66,13.12877303016483,20.43352991942026
Tasmania,Jul-23,Jul,11,9.225718936620584,8.683575055056759
New South Wales,Aug-23,Aug,287,11.941666864217574,26.724339200030546
Victoria,Aug-23,Aug,140,9.561649663915276,18.953248275824077
Queensland,Aug-23,Aug,174,19.13269872544652,12.953154148714656
South Australia,Aug-23,Aug,36,13.131781713073751,12.491891636102046
Western Australia,Aug-23,Aug,58,15.695335419455962,18.84010818968016
Tasmania,Aug-23,Aug,5,8.848259041,9.474530201
New South Wales,Sep-23,Sep,272,15.960422001933487,30.69213040919776
Victoria,Sep-23,Sep,176,12.623093687496336,18.655197910044443
Queensland,Sep-23,Sep,166,21.79664236508772,17.20637970193396
South Australia,Sep-23,Sep,38,16.89327582201175,11.15492726230388
Western Australia,Sep-23,Sep,48,18.793963005903866,12.261672533515998
Tasmania,Sep-23,Sep,21,10.363544753102646,8.249811814619939
New South Wales,Oct-23,Oct,290,17.569790866475564,32.44995248
Victoria,Oct-23,Oct,195,12.846242900788727,16.340276795723476
Queensland,Oct-23,Oct,168,24.31477501599321,24.00757468060243
South Australia,Oct-23,Oct,36,16.953046121500638,8.424110508316428
Western Australia,Oct-23,Oct,53,21.475320746081504,8.380225855723781
Tasmania,Oct-23,Oct,20,10.302148371003584,7.331747412740532
New South Wales,Nov-23,Nov,320,20.618010802784223,32.71516784184431
Victoria,Nov-23,Nov,202,16.47539033,12.826403389892263
Queensland,Nov-23,Nov,193,25.627111372842105,29.65422012225312
South Australia,Nov-23,Nov,37,20.10163272856094,6.821516506181075
Western Australia,Nov-23,Nov,85,23.737718660397075,6.723733932
New South Wales,Dec-23,Dec,383,23.62837072586633,23.569633563143142
Victoria,Dec-23,Dec,288,18.326330481761783,8.638671166881025
Queensland,Dec-23,Dec,230,27.33092044563667,40.70158773912116
South Australia,Dec-23,Dec,47,21.37033806181612,5.020618321713969
Western Australia,Dec-23,Dec,92,25.057825274951966,5.924738852065283
Tasmania,Dec-23,Dec,27,14.582978094009215,3.8733481255702817
